UEM_Opc1,Feminino,Masculino,%_feminino
Administração Pública - Diurno - Uem,620,175,78.0
Biologia E Saúde - Diurno - Uem,346,63,84.6
Contabilidade E Finanças - Diurno - Uem,1059,530,66.6
Direito - Diurno - Uem,1576,578,73.2
Engenharia De Petróleo E Gás Natural - Diurno - Uem,619,569,52.1
Engenharia Eléctrica - Diurno - Uem,412,868,32.2
Engenharia Informática - Diurno - Uem,461,1165,28.4
Engenharia Mecânica - Diurno - Uem,318,873,26.7
Gestão - Diurno - Uem,577,219,72.5
Medicina - Diurno - Uem,2652,855,75.6
