,idade
0,15.0
446,20.0
750,20.0
831,24.0
844,20.0
1214,19.0
1388,20.0
1862,21.0
2210,21.0
2320,27.0
3515,20.0
3621,19.0
4324,21.0
4395,18.0
4416,21.0
4450,21.0
4933,26.0
5259,19.0
5570,19.0
5974,18.0
6509,20.0
6937,18.0
7304,19.0
7379,22.0
7399,36.0
7490,19.0
7600,20.0
7993,19.0
8016,17.0
8020,23.0
8210,21.0
9378,22.0
9613,19.0
9696,19.0
9838,19.0
9958,19.0
10162,19.0
10380,20.0
10530,19.0
10826,25.0
10973,18.0
11159,18.0
11165,20.0
11262,21.0
11426,18.0
11549,18.0
11582,23.0
11648,20.0
11668,19.0
11919,20.0
11967,20.0
12162,22.0
12201,19.0
12309,20.0
12604,18.0
12859,26.0
12906,19.0
13769,19.0
13939,20.0
14101,18.0
14208,18.0
14223,19.0
14467,19.0
14506,26.0
14598,23.0
14894,19.0
14916,18.0
14978,20.0
15061,18.0
15793,19.0
16381,18.0
16648,18.0
16657,19.0
16700,19.0
16782,19.0
16860,18.0
18239,32.0
18548,19.0
18728,19.0
18930,23.0
19248,20.0
19539,19.0
19818,18.0
20240,20.0
20285,20.0
20287,18.0
20324,21.0
20860,20.0
21293,28.0
21460,18.0
21804,19.0
21991,21.0
22341,25.0
22400,18.0
22438,18.0
22638,21.0
22729,20.0
22753,19.0
22815,21.0
22916,20.0
23245,20.0
23601,22.0
23839,24.0
23914,22.0
24191,18.0
24198,18.0
24726,19.0
24854,23.0
25019,18.0
25301,25.0
25310,19.0
25322,18.0
25447,20.0
25993,19.0
26008,20.0
26417,18.0
26424,22.0
26614,20.0
26691,18.0
