UEM_Opc1,idade_media,n_candidatos
Medicina - Diurno - Uem,20.2,13
Direito - Diurno - Uem,19.8,12
Engenharia Mecânica - Diurno - Uem,19.4,9
Engenharia Informática - Diurno - Uem,19.1,8
Engenharia Química - Diurno - Uem,19.0,6
Biologia E Saúde - Diurno - Uem,19.2,5
Gestão - Diurno - Uem,20.2,5
Contabilidade E Finanças - Diurno - Uem,18.6,5
Economia - Diurno - Uem,20.2,4
Ensino De Inglês - Diurno - Uem,21.7,3
Engenharia Eléctrica - Diurno - Uem,19.0,3
Arquitectura E Planeamento Físico - Diurno - Uem,20.7,3
Administração Pública - Diurno - Uem,18.3,3
Engenharia Informática - Nocturno - Uem,20.7,3
Engenharia De Petróleo E Gás Natural - Diurno - Uem,20.3,3
Tradução Português/Inglês - Diurno - Uem,19.7,3
Psicologia Escolar E De Necessidades Educativas Especiais - Diurno - Uem,20.0,3
"Língua, Cultura E Literatura  Chinesa - Diurno - Uem",27.0,2
Biologia Aplicada - Diurno - Uem,19.5,2
Engenharia Electrónica - Diurno - Uem,19.0,2
Engenharia Do Ambiente - Diurno - Uem,20.0,2
Engenharia Civil - Diurno - Uem,19.0,2
Direito - Nocturno - Uem,25.5,2
Marketing E Relações Públicas - Diurno - Uem,23.0,2
Gestão - Nocturno - Uem,26.0,2
Ciências De Infor. Geog (Mat-Ii E Por-Ii) - Diurno - Uem,20.0,1
Engenharia Eléctrica - Nocturno - Uem,36.0,1
Engenharia E Gestão Industrial - Nocturno - Uem,19.0,1
Desenvolvimento E Educação De Infância - Diurno - Uem,21.0,1
Engenharia Florestal - Diurno - Uem,19.0,1
Geologia E Pesquisa Mineral - Diurno - Uem,18.0,1
Ensino De Português - Diurno - Uem,20.0,1
Estatística (Mat-I E Fis-I) - Nocturno - Uem,26.0,1
Geo-Ciências De Petróleo E Gás - Diurno - Uem,21.0,1
Linguística - Diurno - Uem,20.0,1
Informática (Mat-Ii E Por-Ii) - Diurno - Uem,19.0,1
Psicologia Das Organizações- Diurno - Uem,19.0,1
