UEM_Opc1,idade_media,idade_mediana,desvio_padrao,n_candidatos
Medicina - Diurno - Uem,20.4,19.0,4.0,3507
Direito - Diurno - Uem,20.4,19.0,4.0,2154
Engenharia Informática - Diurno - Uem,19.3,19.0,2.0,1626
Contabilidade E Finanças - Diurno - Uem,20.0,19.0,2.5,1589
Engenharia Eléctrica - Diurno - Uem,19.7,19.0,2.4,1280
Engenharia Mecânica - Diurno - Uem,19.5,19.0,2.2,1191
Engenharia De Petróleo E Gás Natural - Diurno - Uem,19.7,19.0,3.4,1188
Engenharia Civil - Diurno - Uem,19.4,19.0,2.3,939
Gestão - Diurno - Uem,20.4,20.0,2.7,796
Administração Pública - Diurno - Uem,21.4,21.0,3.5,795
Engenharia Electrónica - Diurno - Uem,19.5,19.0,2.5,610
Economia - Diurno - Uem,20.0,19.0,2.6,581
Ensino De Inglês - Diurno - Uem,21.4,20.0,3.5,466
Psicologia Das Organizações- Diurno - Uem,21.0,20.0,3.6,465
Marketing E Relações Públicas - Diurno - Uem,21.2,20.0,3.7,445
Biologia E Saúde - Diurno - Uem,20.8,20.0,3.8,409
Informática (Mat-Ii E Por-Ii) - Diurno - Uem,20.8,20.0,3.1,356
Arquitectura E Planeamento Físico - Diurno - Uem,19.3,19.0,2.2,349
Engenharia Química - Diurno - Uem,19.3,19.0,2.2,345
Jornalismo - Diurno - Uem,20.6,20.0,3.2,329
Engenharia Agronómica - Diurno - Uem,20.0,20.0,2.2,280
Direito - Nocturno - Uem,29.6,28.0,8.0,273
Ensino De Português - Diurno - Uem,21.3,20.0,3.5,247
Engenharia De Telecomunicações - Diurno - Uem,20.1,20.0,2.6,225
Contabilidade E Finanças - Nocturno - Uem,25.3,24.0,6.3,216
Psicologia Escolar E De Necessidades Educativas Especiais - Diurno - Uem,21.5,20.0,3.6,199
Biologia Aplicada - Diurno - Uem,20.5,20.0,3.3,197
Engenharia Do Ambiente - Diurno - Uem,19.7,19.0,2.6,191
Tradução Português/Inglês - Diurno - Uem,21.8,21.0,5.1,179
Engenharia Eléctrica - Nocturno - Uem,25.0,23.0,6.0,155
"Língua, Cultura E Literatura  Chinesa - Diurno - Uem",22.0,21.0,3.9,154
Desenvolvimento E Educação De Infância - Diurno - Uem,22.1,21.0,3.7,152
Geo-Ciências De Petróleo E Gás - Diurno - Uem,20.0,19.0,3.2,148
Gestão - Nocturno - Uem,25.7,24.0,6.0,147
Ensino De Filosofia (Fil E Por-Ii) - Diurno - Uem,20.7,20.0,2.5,141
Ciência Política - Diurno - Uem,21.1,20.0,3.7,135
Geologia E Pesquisa Mineral - Diurno - Uem,20.0,19.0,3.8,124
Engenharia Informática - Nocturno - Uem,24.2,23.0,5.4,123
Educação Ambiental (Por-Iii E Bio-Ii) - Diurno - Uem,21.2,21.0,2.9,119
Sociologia - Diurno - Uem,22.5,21.0,5.1,118
Medicina Veterinária - Diurno - Uem,20.7,20.0,3.7,118
Gestão De Empresas (Chibuto) - Diurno - Uem,20.4,20.0,3.5,113
Administração Pública - Nocturno - Uem,27.6,26.0,6.6,110
Ensino De Francês - Diurno - Uem,20.4,20.0,2.4,110
Estatística (Mat-Ii E Por-Ii) - Diurno - Uem,20.9,20.0,3.5,110
Ciências Do Desporto - Diurno - Uem,22.9,21.0,6.2,102
Psicologia Das Organizações - Nocturno - Uem,27.3,26.0,6.1,97
Marketing E Relações Públicas - Nocturno - Uem,27.0,25.5,5.7,92
Química Industrial - Diurno - Uem,20.7,19.5,4.2,90
Matemática - Diurno - Uem,20.4,20.0,2.9,90
Organização E Gestão Da Educação - Diurno - Uem,22.9,22.0,4.7,89
Economia - Nocturno - Uem,24.6,23.0,5.9,86
Engenharia Civil - Nocturno - Uem,24.4,23.0,5.7,83
Informática  (Mat-I E Fis-I) - Diurno - Uem,20.4,20.0,2.9,80
Finanças (Chibuto) - Diurno - Uem,21.3,20.0,3.3,79
Biologia Marinha Aquática E Costeira - Diurno - Uem,20.4,19.0,3.3,78
Ciência E Tecnologia De Alimentos - Diurno - Uem,21.3,20.0,3.1,77
História - Diurno - Uem,21.9,21.0,4.3,76
Informática (Mat-Ii E Por-Ii) - Nocturno - Uem,24.9,24.0,5.5,73
Ciências De Infor. Geog (Mat-Ii E Por-Ii) - Diurno - Uem,20.7,20.0,1.8,69
Gestão Hoteleira (Inhambane) - Diurno - Uem,20.8,20.0,2.5,69
Ensino De Inglês - Nocturno - Uem,26.6,24.0,6.7,67
Música - Diurno - Uem,24.1,23.0,5.3,65
Língua De Sinais De Moçambique - Diurno - Uem,23.6,22.0,5.2,64
Engenharia Florestal - Diurno - Uem,19.6,19.0,1.8,57
Física - Diurno - Uem,20.5,20.0,3.1,56
Educação Ambiental (Por-Iii E Geo-I) - Diurno - Uem,21.9,21.0,3.9,55
Tradução Português/Inglês - Nocturno - Uem,28.7,27.0,6.8,53
Agroeconomia E Extensão Agrária - Diurno - Uem,21.5,20.0,3.8,52
Engenharia Rural (Vilankulo) - Diurno - Uem,21.0,20.0,3.3,51
Comunicação E Extensão Rural (Vilankulo) - Diurno - Uem,21.6,21.0,3.1,48
Filosofia (Fil E Por-Ii)- Diurno - Uem,21.7,20.5,4.5,48
Arquivística (Por-I E His-I) - Diurno - Uem,23.6,21.0,7.3,48
Psicologia Escolar E De Necessidades Educativas Especiais - Noturno - Uem,27.5,27.0,6.3,45
Biologia Marinha (Quelimane) - Diurno - Uem,20.5,20.0,2.3,43
Engenharia Electrónica - Nocturno - Uem,23.0,22.0,4.7,43
Geografia - Diurno - Uem,20.9,20.0,2.7,41
Ensino De Português - Nocturno - Uem,24.5,24.0,5.2,39
Engenharia E Gestão Industrial - Nocturno - Uem,24.7,24.0,5.1,38
Ecologia E Conservação Da Biodiversidade Terrestre - Diurno - Uem,20.5,20.0,2.6,37
Arquivística (Mat-Ii E Por-Ii) - Diurno - Uem,20.9,20.0,3.0,36
Antropologia - Diurno - Uem,22.3,21.0,4.7,34
Desenvolvimento E Educação Infância - Nocturno - Uem,25.9,24.0,5.4,32
Hidrogeologia E Recursos Hídricos - Diurno - Uem,21.8,21.0,3.6,31
"Língua, Cultura E Literatura Chinesa - Nocturno - Uem",27.2,28.0,7.4,31
Organização E Gestão Da Educação - Nocturno - Uem,28.6,27.5,5.4,30
Produção Agrícola (Vilankulo) - Diurno - Uem,21.9,21.0,3.5,29
Eco-Turismo E Conservação Da Natureza (Por-Iii E Bio-Ii)(Inhambane) - Diurno - Uem,21.9,22.0,3.7,28
Teatro - Diurno - Uem,24.8,23.5,4.7,26
Jornalismo - Nocturno - Uem,25.4,24.0,5.7,25
Ciências De Infor. Geog (Mat-I E Fis-I) - Diurno - Uem,21.5,20.0,4.0,25
Agro-Negócios (Chibuto) - Diurno - Uem,19.9,19.5,1.8,24
Educação Ambiental (Por-Iii E Bio-Ii) - Nocturno - Uem,25.3,24.0,4.5,24
Engenharia De Telecomunicações - Nocturno  - Uem,26.5,23.5,7.4,24
Economia Agrária (Vilankulo) - Diurno - Uem,20.9,20.0,2.7,23
Estatística (Mat-Ii E Por-Ii)  - Nocturno - Uem,27.4,26.0,6.4,23
Biblioteconomia (Por-I E His-I) - Diurno - Uem,23.4,22.0,5.8,22
Linguística - Diurno - Uem,23.7,21.5,6.5,22
Geo-Ciências De Petróleo E Gás - Nocturno - Uem,22.9,21.0,5.3,21
Agro-Processamento (Vilankulo) - Diurno - Uem,20.2,20.0,2.0,21
Gestão Comercial (Chibuto) - Diurno - Uem,21.6,20.0,3.3,21
Ensino De Filosofia (Mat-Ii E Por-Ii) - Diurno - Uem,20.4,20.0,2.7,20
Informática (Mat-I E Fis-I) - Nocturno - Uem,25.7,26.0,3.5,19
Produção Animal (Vilankulo) - Diurno - Uem,20.7,21.0,1.8,19
Engenharia Do Ambiente - Nocturno - Uem,24.4,22.0,6.2,18
Biblioteconomia (Mat-Ii E Por-Ii)- Diurno - Uem,20.4,20.0,2.0,17
Eco-Turismo E Conservação Da Natureza (Por-Iii E Geo-I)(Inhambane) - Diurno - Uem,21.0,20.0,2.8,15
Ciência Política - Nocturno - Uem,31.0,30.0,7.4,15
Ensino De Filosofia (Por-I E His-I) - Diurno - Uem,21.9,20.0,5.7,15
Arquivística (Mat-Ii E Por-Ii) - Nocturno - Uem,30.1,28.5,9.2,14
Eco-Turismo E Conservação Da Natureza (Mat-Ii E Por-Ii)(Inhambane) - Diurno - Uem,22.1,20.0,4.1,14
Ciência E Tecnologia Animal - Diurno - Uem,22.7,21.0,6.6,14
Ciências De Infor. Geog (Mat-Ii E Por-Ii)  - Nocturno - Uem,24.0,22.5,3.8,14
Sociologia - Nocturno - Uem,32.7,30.0,8.7,14
Tradução Português/Francês - Diurno - Uem,23.2,20.5,6.4,14
Meteorologia - Diurno - Uem,22.1,22.0,5.0,14
Estatística (Mat-I E Fis-I)  - Diurno  - Uem,21.6,20.5,4.6,14
Ensino De Línguas Bantu - Diurno - Uem,22.6,20.5,5.9,14
Geologia Urbana E Ambiental - Diurno - Uem,19.8,19.0,1.4,13
Literatura Moçambicana - Diurno - Uem,21.0,21.0,1.4,13
Agricultura Comercial (Chibuto) - Diurno - Uem,22.9,22.0,3.1,12
Arquivística (Por-I E His-I) - Nocturno - Uem,26.3,23.0,7.4,12
Geo-Física Aplicada - Diurno - Uem,21.5,20.0,3.9,11
Ensino De Filosofia (Fil E Por-Ii) - Nocturno - Uem,22.7,22.0,2.7,10
Educação Ambiental (Por-Iii E Geo-I) - Nocturno - Uem,25.2,23.5,6.8,10
Gestão De Empresas  (Chibuto) - Nocturno - Uem,21.8,22.0,2.7,10
Arqueologia E Gestão Do Património Cultural - Diurno - Uem,21.3,22.0,1.9,9
Animação Turística (Inhambane) - Diurno - Uem,20.7,21.0,2.3,9
Química Ambiental - Diurno - Uem,20.1,19.0,4.3,9
Hidrogeologia E Recursos Hídricos - Nocturno - Uem,27.3,28.0,6.1,9
Geologia E Pesquisa Mineral - Nocturno - Uem,23.1,21.0,4.9,8
Informação Turística (Inhambane) - Diurno - Uem,22.6,21.5,4.1,8
Estatística (Mat-I E Fis-I) - Nocturno - Uem,27.3,26.0,6.3,7
Filosofia (Por-I E His-I)- Diurno - Uem,23.3,21.0,5.6,7
Produção Pesqueira (Vilankulo) - Diurno - Uem,20.6,21.0,1.1,5
Geologia Marinha (Quelimane) - Diurno - Uem,22.2,21.0,4.6,5
Oceanografia (Quelimane) - Diurno - Uem,23.6,22.0,4.9,5
Química Marinha (Quelimane) - Diurno - Uem,19.0,19.0,1.0,5
Educação Ambiental (Bio-Ii E Geo-I)- Diurno - Uem,27.0,21.5,13.4,4
Geografia - Nocturno - Uem,26.2,25.5,4.2,4
Ensino De Filosofia (Por-I E His-I) - Nocturno - Uem,21.5,21.0,3.3,4
Ensino De Filosofia (Mat-Ii E Por-Ii) - Nocturno - Uem,24.3,22.0,6.8,3
Ciências De Infor. Geog (Mat-I E Fis-I) - Nocturno - Uem,20.5,20.5,3.5,2
Filosofia (Mat-Ii E Por-Ii)- Diurno - Uem,18.5,18.5,0.7,2
Educação Ambiental (Bio-Ii E Geo-I) - Nocturno - Uem,48.0,48.0,,1
