UEM_Opc1,idade_media,idade_mediana,n_candidatos
Administração Pública - Diurno - Uem,21.4,21.0,795
Marketing E Relações Públicas - Diurno - Uem,21.2,20.0,445
Biologia E Saúde - Diurno - Uem,20.8,20.0,409
Gestão - Diurno - Uem,20.4,20.0,796
Medicina - Diurno - Uem,20.4,19.0,3507
Direito - Diurno - Uem,20.4,19.0,2154
Engenharia De Telecomunicações - Diurno - Uem,20.1,20.0,225
Economia - Diurno - Uem,20.0,19.0,581
Contabilidade E Finanças - Diurno - Uem,20.0,19.0,1589
Engenharia Eléctrica - Diurno - Uem,19.7,19.0,1280
Engenharia De Petróleo E Gás Natural - Diurno - Uem,19.7,19.0,1188
Engenharia Mecânica - Diurno - Uem,19.5,19.0,1191
Engenharia Electrónica - Diurno - Uem,19.5,19.0,610
Engenharia Civil - Diurno - Uem,19.4,19.0,939
Engenharia Informática - Diurno - Uem,19.3,19.0,1626
