EscoPU,count
Outra - Província De Maputo,2396
Desconhecida - Cidade De Maputo,2244
Outra - Cidade De Maputo,864
Escola Secundária De Machava Sede,809
Desconhecida - Província De Maputo,803
Escola Secundária Da Zona-Verde,644
Escola Secundária Bonifácio Gruveta Massamba,643
Escola Secundária De Laulane,599
Escola Secundária Noroeste 1,592
Escola Secundária Heróis Moçambicanos,588
Escola Secundária Quisse Mavota,587
Escola Secundária Da Matola,573
Escola Secundária Joaquim Alberto Chissano,547
Escola Secundária Francisco Manyanga,537
Escola Secundária Eduardo Mondlane,535
Escola Secundária Da Liberdade,497
Escola Secundária De Malhazine,450
Escola Secundária De Nkobe,439
Escola Secundária Força Do Povo,426
Escola Secundária Josina Machel,386
Escola Secundária Da Lhanguene,351
Escola Secundária Joaquim Chissano,286
Escola Secundária Nelson Mandela,268
Escola Secundária Samora Machel,256
Escola Comunitária Da Nª Srª Do Livramento,245
Escola Secundária Da Polana,228
Escola Secundária Do Xai-Xai,225
Outra - Província De Gaza,221
Escola Secundária Da Igreja Do Nazareno,215
Escola Secundária Armando Emílio Guebuza,200
Escola 29 De Setembro,178
Escola Secundária De Mucoque,154
Instituto Comercial De Maputo,146
Outra - Província De Nampula,144
Outra - Província De Inhambane,132
Escola Secundária 25 De Setembro,131
Escola Com. São Vicente De Paulo Da Malhangalene,126
Escola  Secundária De Boane,125
Escola Secundária 3 De Fevereiro,119
Escola Secundária Da Machava Bedene,116
Centro Dom Bosco,111
Escola Secundária Gwaza Muthini,109
Escola Secundária De Nampula,108
Outra - Província De Zambézia,102
Escola Secundária De Inhamissa,102
Escola Secundária Da Catembe,94
Escola Secundária De Chibuto,94
Escola Secundária Emília Daússe,93
Escola Secundária 25 De Novembro,92
Escola Comunitária São Francisco De Assis,88
Escola Comunitária Margarida Naseau,87
Colégio Kitabu,86
Escola Nossa Senhora De Fátima,81
Desconhecida - Província De Nampula,81
Escola Secundária De Mocuba,80
Instituto Industrial De Maputo,78
Escola Comunitária Santa Montanha,78
Outra - Província De Manica,77
Desconhecida - Província De Gaza,77
Escola Secundária São Gabriel,76
Escola Secundária De Chókwé,73
Escola Comunhão Na Colheita,70
Escola Secundária Da Massinga,69
Escola Secundaria John Issa,68
Outra - Província De Tete,67
Outra - Província De Sofala,65
Escola Secundária De Tete,63
Escola Secundária De Bili,63
Escola Secundária De Cumbana,61
Escola Secundária De Muelé,60
Escola Secundária De Muatala,58
Escola Comunitária Daejo Cheile,57
Escola Secundária Malangatana Valente Ngwenha,56
Escola Secundária Amor De Deus,55
Escola Secundária De Manjacaze,53
Desconhecida - Província De Inhambane,53
Escola Secundária Da Moamba,53
Escola Sec. Joaquim Alberto Chissano,53
Escola Secundária Graça Machel,52
Escola Secundária 4 De Outubro,52
Escola Pré - Universitária Handan Bin Rashid,51
Escola Comunitária 4 De Outubro,51
Escola Secundária 12 De Outubro,50
Escola Secundária Mateus Sansão Mutemba,50
Escola Secundária Miniarte,50
Outra - Província Cabo De Delgado,49
Escola Secundária 2º Ciclo Laura Vicunã,49
Escola Secundária  1º De Maio De Chicuque,47
Colégio Dioceseno Dom Bosco,46
Escola Secundária Franciscana Hospitaleira,46
Desconhecida - Província De Zambézia,43
Escola Secundaria De Chongoene 2,41
Escola Secundária Das Acácias,40
Escola Secundária São Carlos Lwanga,40
Escola Secundária De Nwamatibjana,40
Instituto Industrial Nampula,39
Escola Comunitária Sagrada Família,39
Escola Secundária  9  De  Maio,39
Escola Secundária Do Isctem,39
Escola Secundária Da Ponta Gêa,38
Centro Infantil E Colégio Adventista,38
Escola Secundária De Pemba,37
Escola Secundária Da Manga,37
Escola Secundária De Cuamba,37
Escola Comunitária Cristo Rei,37
Escola Sol De Moçambique,37
Escola Secundária Inhaca Sede,37
