pais_nascimento,Total,Percentagem (%)
Mocambique,26678,99.5559204388551
Africa Do Sul,78,0.2910773594059036
Suazilandia,8,0.029854088144195243
Burundi,8,0.029854088144195243
Ruanda,6,0.022390566108146437
Inglaterra,4,0.014927044072097622
Portugal,2,0.007463522036048811
Brasil,2,0.007463522036048811
Estrangeiro,2,0.007463522036048811
Andorra,1,0.0037317610180244054
Nao Indicada,1,0.0037317610180244054
Malawi,1,0.0037317610180244054
Russia,1,0.0037317610180244054
Alemanha,1,0.0037317610180244054
Angola,1,0.0037317610180244054
Quenia,1,0.0037317610180244054
Desconhecida,1,0.0037317610180244054
Congo (Republica Democratica Do),1,0.0037317610180244054
