curso,escolhas_1a_opcao,escolhas_2a_opcao,total_escolhas
Medicina - Diurno - Uem,3508,170,3678
Direito - Diurno - Uem,2154,320,2474
Engenharia Informática - Diurno - Uem,1626,755,2381
Contabilidade E Finanças - Diurno - Uem,1589,614,2203
Engenharia De Petróleo E Gás Natural - Diurno - Uem,1188,935,2123
Biologia E Saúde - Diurno - Uem,409,1550,1959
Engenharia Eléctrica - Diurno - Uem,1280,678,1958
Engenharia Mecânica - Diurno - Uem,1191,564,1755
Gestão - Diurno - Uem,796,855,1651
Administração Pública - Diurno - Uem,795,847,1642
Engenharia Electrónica - Diurno - Uem,610,850,1460
Engenharia Civil - Diurno - Uem,939,473,1412
Economia - Diurno - Uem,581,816,1397
Marketing E Relações Públicas - Diurno - Uem,445,625,1070
Engenharia De Telecomunicações - Diurno - Uem,225,571,796
Jornalismo - Diurno - Uem,329,443,772
Psicologia Das Organizações- Diurno - Uem,465,232,697
Biologia Aplicada - Diurno - Uem,197,495,692
Ensino De Inglês - Diurno - Uem,466,221,687
Engenharia Do Ambiente - Diurno - Uem,191,433,624
Informática (Mat-Ii E Por-Ii) - Diurno - Uem,356,262,618
Engenharia Química - Diurno - Uem,345,248,593
Medicina Veterinária - Diurno - Uem,118,458,576
Ensino De Português - Diurno - Uem,247,300,547
Geo-Ciências De Petróleo E Gás - Diurno - Uem,148,372,520
Psicologia Escolar E De Necessidades Educativas Especiais - Diurno - Uem,199,311,510
Tradução Português/Inglês - Diurno - Uem,179,326,505
Ciência Política - Diurno - Uem,135,338,473
Sociologia - Diurno - Uem,118,331,449
Arquitectura E Planeamento Físico - Diurno - Uem,349,98,447
Informática  (Mat-I E Fis-I) - Diurno - Uem,80,361,441
Direito - Nocturno - Uem,273,154,427
Contabilidade E Finanças - Nocturno - Uem,216,194,410
Engenharia Agronómica - Diurno - Uem,280,124,404
Ciência E Tecnologia De Alimentos - Diurno - Uem,77,278,355
Educação Ambiental (Por-Iii E Bio-Ii) - Diurno - Uem,119,220,339
Estatística (Mat-Ii E Por-Ii) - Diurno - Uem,110,206,316
Desenvolvimento E Educação De Infância - Diurno - Uem,152,159,311
Física - Diurno - Uem,56,249,305
Gestão - Nocturno - Uem,147,158,305
Biologia Marinha Aquática E Costeira - Diurno - Uem,78,219,297
Engenharia Informática - Nocturno - Uem,123,172,295
Engenharia Eléctrica - Nocturno - Uem,155,137,292
Administração Pública - Nocturno - Uem,110,172,282
Matemática - Diurno - Uem,90,180,270
Ciências De Infor. Geog (Mat-Ii E Por-Ii) - Diurno - Uem,69,201,270
Organização E Gestão Da Educação - Diurno - Uem,89,179,268
História - Diurno - Uem,76,189,265
Gestão De Empresas (Chibuto) - Diurno - Uem,113,149,262
"Língua, Cultura E Literatura  Chinesa - Diurno - Uem",154,107,261
Economia - Nocturno - Uem,86,159,245
Geologia E Pesquisa Mineral - Diurno - Uem,124,81,205
Marketing E Relações Públicas - Nocturno - Uem,92,102,194
Engenharia Civil - Nocturno - Uem,83,111,194
Ecologia E Conservação Da Biodiversidade Terrestre - Diurno - Uem,37,153,190
Ensino De Filosofia (Fil E Por-Ii) - Diurno - Uem,141,46,187
Arquivística (Por-I E His-I) - Diurno - Uem,48,134,182
Engenharia Electrónica - Nocturno - Uem,43,135,178
Engenharia Florestal - Diurno - Uem,57,114,171
Psicologia Das Organizações - Nocturno - Uem,97,73,170
Agroeconomia E Extensão Agrária - Diurno - Uem,52,116,168
Química Industrial - Diurno - Uem,90,78,168
Arquivística (Mat-Ii E Por-Ii) - Diurno - Uem,36,123,159
Estatística (Mat-I E Fis-I)  - Diurno  - Uem,14,142,156
Informática (Mat-Ii E Por-Ii) - Nocturno - Uem,73,82,155
Finanças (Chibuto) - Diurno - Uem,79,73,152
Hidrogeologia E Recursos Hídricos - Diurno - Uem,31,120,151
Ensino De Inglês - Nocturno - Uem,67,77,144
Ensino De Francês - Diurno - Uem,110,29,139
Língua De Sinais De Moçambique - Diurno - Uem,64,66,130
Filosofia (Fil E Por-Ii)- Diurno - Uem,48,80,128
Psicologia Escolar E De Necessidades Educativas Especiais - Noturno - Uem,45,79,124
Ciências Do Desporto - Diurno - Uem,102,19,121
Antropologia - Diurno - Uem,34,86,120
Tradução Português/Inglês - Nocturno - Uem,53,66,119
Gestão Hoteleira (Inhambane) - Diurno - Uem,69,48,117
Engenharia E Gestão Industrial - Nocturno - Uem,38,79,117
Biblioteconomia (Mat-Ii E Por-Ii)- Diurno - Uem,17,96,113
Ciências De Infor. Geog (Mat-I E Fis-I) - Diurno - Uem,25,83,108
Biblioteconomia (Por-I E His-I) - Diurno - Uem,22,85,107
Linguística - Diurno - Uem,22,84,106
Engenharia Rural (Vilankulo) - Diurno - Uem,51,55,106
Meteorologia - Diurno - Uem,14,89,103
Gestão Comercial (Chibuto) - Diurno - Uem,21,81,102
Engenharia De Telecomunicações - Nocturno  - Uem,24,78,102
Jornalismo - Nocturno - Uem,25,65,90
Ciência E Tecnologia Animal - Diurno - Uem,14,72,86
Biologia Marinha (Quelimane) - Diurno - Uem,43,42,85
Comunicação E Extensão Rural (Vilankulo) - Diurno - Uem,48,35,83
Tradução Português/Francês - Diurno - Uem,14,68,82
Informática (Mat-I E Fis-I) - Nocturno - Uem,19,58,77
Ensino De Filosofia (Mat-Ii E Por-Ii) - Diurno - Uem,20,55,75
Música - Diurno - Uem,65,9,74
Geologia Urbana E Ambiental - Diurno - Uem,13,59,72
Estatística (Mat-Ii E Por-Ii)  - Nocturno - Uem,23,47,70
Agro-Processamento (Vilankulo) - Diurno - Uem,21,48,69
Educação Ambiental (Por-Iii E Geo-I) - Diurno - Uem,55,14,69
Ensino De Português - Nocturno - Uem,39,30,69
Geo-Ciências De Petróleo E Gás - Nocturno - Uem,21,46,67
Organização E Gestão Da Educação - Nocturno - Uem,30,36,66
"Língua, Cultura E Literatura Chinesa - Nocturno - Uem",31,34,65
Desenvolvimento E Educação Infância - Nocturno - Uem,32,32,64
Ciência Política - Nocturno - Uem,15,48,63
Geografia - Diurno - Uem,41,20,61
Geo-Física Aplicada - Diurno - Uem,11,50,61
Química Ambiental - Diurno - Uem,9,51,60
